YYYY,team,rank,game,wins,losses,draw,gb,wl_pct
2022,WYVERNS,1,144,88,52,4,,0.629
2022,TWINS,2,144,87,55,2,2,0.613
2022,WIZ,3,144,80,62,2,9,0.563
2022,HEROS,4,144,80,62,2,9,0.563
2022,TIGERS,5,144,70,73,1,19.5,0.49
2022,DYNOS,6,144,67,74,3,21.5,0.475
2022,LIONS,7,144,66,76,2,23,0.465
2022,GIANTS,8,144,64,76,4,24,0.457
2022,BEARS,9,144,60,82,2,29,0.423
2022,EAGLES,10,144,46,96,2,43,0.324
2021,WIZ,1,144,76,59,9,,0.563
2021,LIONS,2,144,76,59,9,0,0.563
2021,TWINS,3,144,72,58,14,1.5,0.554
2021,BEARS,4,144,71,65,8,5.5,0.522
2021,HEROS,5,144,70,67,7,7,0.511
2021,WYVERNS,6,144,66,64,14,7.5,0.508
2021,DYNOS,7,144,67,68,9,9,0.496
2021,GIANTS,8,144,65,71,8,11.5,0.478
2021,TIGERS,9,144,58,76,10,17.5,0.433
2021,EAGLES,10,144,49,83,12,25.5,0.371
2020,DYNOS,1,144,83,55,6,,0.601
2020,WIZ,2,144,81,62,1,4.5,0.566
2020,BEARS,3,144,79,61,4,5,0.564
2020,TWINS,4,144,79,61,4,5,0.564
2020,HEROS,5,144,80,63,1,5.5,0.559
2020,TIGERS,6,144,73,71,0,13,0.507
2020,GIANTS,7,144,71,72,1,14.5,0.497
2020,LIONS,8,144,64,75,5,19.5,0.46
2020,WYVERNS,9,144,51,92,1,34.5,0.357
2020,EAGLES,10,144,46,95,3,38.5,0.326
2019,WYVERNS,1,144,88,55,1,,0.615
2019,BEARS,2,144,88,55,1,0,0.615
2019,HEROS,3,144,86,57,1,2,0.601
2019,TWINS,4,144,79,64,1,9,0.552
2019,DYNOS,5,144,73,69,2,14.5,0.514
2019,WIZ,6,144,71,71,2,16.5,0.5
2019,TIGERS,7,144,62,80,2,25.5,0.437
2019,LIONS,8,144,60,83,1,28,0.42
2019,EAGLES,9,144,58,86,0,30.5,0.403
2019,GIANTS,10,144,48,93,3,39,0.34
2018,WYVERNS,1,144,78,65,1,,0.545
2018,BEARS,2,144,93,51,0,-14.5,0.646
2018,EAGLES,3,144,77,67,0,1.5,0.535
2018,HEROS,4,144,75,69,0,3.5,0.521
2018,TIGERS,5,144,70,74,0,8.5,0.486
2018,LIONS,6,144,68,72,4,8.5,0.486
2018,GIANTS,7,144,68,74,2,9.5,0.479
2018,TWINS,8,144,68,75,1,10,0.476
2018,WIZ,9,144,59,82,3,18,0.418
2018,DYNOS,10,144,58,85,1,20,0.406
2017,TIGERS,1,144,87,56,1,,0.608
2017,BEARS,2,144,84,57,3,2,0.596
2017,GIANTS,3,144,80,62,2,6.5,0.563
2017,DYNOS,4,144,79,62,3,7,0.56
2017,WYVERNS,5,144,75,68,1,12,0.524
2017,TWINS,6,144,69,72,3,17,0.489
2017,HEROS,7,144,69,73,2,17.5,0.486
2017,EAGLES,8,144,61,81,2,25.5,0.43
2017,LIONS,9,144,55,84,5,30,0.396
2017,WIZ,10,144,50,94,0,37.5,0.347
2016,BEARS,1,144,93,50,1,,0.65
2016,DYNOS,2,144,83,58,3,9,0
2016,HEROS,3,144,77,66,1,16,0.538
2016,TWINS,4,144,71,71,2,21.5,0.5
2016,TIGERS,5,144,70,73,1,23,0.49
2016,WYVERNS,6,144,69,75,0,24.5,0.479
2016,EAGLES,7,144,66,75,3,26,0.468
2016,GIANTS,8,144,66,78,0,27.5,0.458
2016,LIONS,9,144,65,78,1,28,0.455
2016,WIZ,10,144,53,89,2,39.5,0.373
2015,LIONS,1,144,88,56,0,,0.611
2015,DYNOS,2,144,84,57,3,2.5,0.596
2015,BEARS,3,144,79,65,0,9,0.549
2015,HEROS,4,144,78,65,1,9.5,0.545
2015,WYVERNS,5,144,69,73,2,18,0.486
2015,EAGLES,6,144,68,76,0,20,0.472
2015,TIGERS,7,144,67,77,0,21,0.465
2015,GIANTS,8,144,66,77,1,21.5,0.462
2015,TWINS,9,144,64,78,2,23,0.451
2015,WIZ,10,144,52,91,1,35.5,0.364
2014,LIONS,1,128,78,47,3,,0.624
2014,HEROS,2,128,78,48,2,0.5,0.619
2014,DYNOS,3,128,70,57,1,9,0.551
2014,TWINS,4,128,62,64,2,16.5,0.492
2014,WYVERNS,5,128,61,65,2,17.5,0.484
2014,BEARS,6,128,59,68,1,20,0.465
2014,GIANTS,7,128,58,69,1,21,0.457
2014,TIGERS,8,128,54,74,0,25.5,0.422
2014,EAGLES,9,128,49,77,2,29.5,0.389
2013,LIONS,1,128,75,51,2,,0.595
2013,TWINS,2,128,74,54,0,2,0.578
2013,HEROS,3,128,72,54,2,3,0.571
2013,BEARS,4,128,71,54,3,3.5,0.568
2013,GIANTS,5,128,66,58,4,8,0.532
2013,WYVERNS,6,128,62,63,3,12.5,0.496
2013,DYNOS,7,128,52,72,4,22,0.419
2013,TIGERS,8,128,51,74,3,23.5,0.408
2013,EAGLES,9,128,42,85,1,33.5,0.331
2012,LIONS,1,133,80,51,2,,0.611
2012,WYVERNS,2,133,71,59,3,8.5,0.546
2012,BEARS,3,133,68,62,3,11.5,0.523
2012,GIANTS,4,133,65,62,6,13,0.512
2012,TIGERS,5,133,62,65,6,16,0.488
2012,HEROS,6,133,61,69,3,18.5,0.469
2012,TWINS,7,133,57,72,4,22,0.442
2012,EAGLES,8,133,53,77,3,26.5,0.408
2011,LIONS,1,133,79,50,4,,0.612
2011,GIANTS,2,133,72,56,5,6.5,0.563
2011,WYVERNS,3,133,71,59,3,8.5,0.546
2011,TIGERS,4,133,70,63,0,11,0.526
2011,BEARS,5,133,61,70,2,19,0.466
2011,TWINS,6,133,59,72,2,21,0.45
2011,EAGLES,7,133,59,72,2,21,0.45
2011,HEROS,8,133,51,80,2,29,0.389
2010,WYVERNS,1,133,84,47,2,,0.632
2010,LIONS,2,133,79,52,2,5,0.594
2010,BEARS,3,133,73,57,3,10.5,0.549
2010,GIANTS,4,133,69,61,3,14.5,0.519
2010,TIGERS,5,133,59,74,0,26,0.444
2010,TWINS,6,133,57,71,5,25.5,0.429
2010,HEROS,7,133,52,78,3,31.5,0.391
2010,EAGLES,8,133,49,82,2,35,0.368
2009,TIGERS,1,133,81,48,4,,0.609
2009,WYVERNS,2,133,80,47,6,0,0.602
2009,BEARS,3,133,71,60,2,11,0.534
2009,GIANTS,4,133,66,67,0,17,0.496
2009,LIONS,5,133,64,69,0,19,0.481
2009,HEROS,6,133,60,72,1,22.5,0.451
2009,TWINS,7,133,54,75,4,27,0.406
2009,EAGLES,8,133,46,84,3,35.5,0.346
2008,WYVERNS,1,126,83,43,0,,0.659
2008,BEARS,2,126,70,56,0,13,0.556
2008,GIANTS,3,126,69,57,0,14,0.548
2008,LIONS,4,126,65,61,0,18,0.516
2008,EAGLES,5,126,64,62,0,19,0.508
2008,TIGERS,6,126,57,69,0,26,0.452
2008,HEROS,7,126,50,76,0,33,0.397
2008,TWINS,8,126,46,80,0,37,0.365
2007,WYVERNS,1,126,73,48,5,,0.603
2007,BEARS,2,126,70,54,2,4.5,0.565
2007,EAGLES,3,126,67,57,2,7.5,0.54
2007,LIONS,4,126,62,60,4,11.5,0.508
2007,TWINS,5,126,58,62,6,14.5,0.483
2007,UNICORNS,6,126,56,69,1,19,0.448
2007,GIANTS,7,126,55,68,3,19,0.447
2007,TIGERS,8,126,51,74,1,24,0.408